ID,Postal code,Locality,Type,Subtype,Price ,Bedrooms,Living area,Kitchen Type,Furnished,How many fireplaces?,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Surroundings type,Energy class,Construction year,Heating type,Primary energy consumption,Venue of the sale,Tenement building,New build,healthy_data
11146621,4100,Seraing,House,,189000,2,110,,0,,46,135,260,2,,Good,Isolated,D,1918,Gas,328,,0,0,
11146581,4257,Berloz,House,,174000,2,140,,0,,5,490,787,4,,To renovate,"Living area (residential, urban or rural)",F,1930,Fuel oil,484,,0,0,
11144455,4031,Angleur,House,,139000,3,89,,,,11,,63,2,,Good,Urban,C,1918,Gas,197,,0,0,
11143714,4530,Villers-le-bouillet,Country-cottage,,180000,3,175,,0,,,,1200,4,,To renovate,Countryside,F,1850,Fuel oil,456,,0,0,
11144033,9000,Gent,House,,289000,3,154,,0,,,8,55,2,,To be done up,Urban,D,1932,Gas,353,,0,0,
11143936,3018,Wijgmaal,House,,438000,4,169,,,,,65,180,3,,Good,,E,1970,Gas,411,,0,0,
11143726,9680,Maarkedal,Villa,,575000,4,238,,0,,40,800,1588,4,,Good,Countryside,D,1999,Fuel oil,369,,0,0,
11143713,4210,Burdinne,Country-cottage,,450000,3,175,,0,,32,1600,1901,4,,As new,Countryside,D,1900,Fuel oil,330,,0,0,
11141224,4040,Herstal,House,,299000,4,145,,0,,66,98,275,2,,As new,Landscape,A,1931,Gas,69,,0,0,
11141759,1420,Braine-lalleud,House,,349000,3,135,,0,,,156,216,2,,Just renovated,Urban,C,1900,Gas,254,,0,0,
11140830,9000,Gent,Villa,,735000,4,272,,0,,,,430,3,,To be done up,Urban,D,1933,Fuel oil,375,,0,0,
11140491,2650,Edegem,House,,1545000,4,360,,,,,315,703,4,,Just renovated,,B,1970,Gas,147,,0,0,
11144467,4032,Chenee,House,,85000,3,140,,,,13,40,149,,,To renovate,Urban,C,1960,Gas,254,,0,0,
11138440,4540,Amay,House,,375000,3,135,,,,30,2125,2634,4,,Good,Countryside,F,1994,Fuel oil,507,,0,0,
11135548,9600,Ronse,Villa,,259000,3,165,,0,,30,351,674,3,,To renovate,Isolated,E,1959,Gas,471,,0,0,
11146879,2660,Hoboken,House,,539000,3,144,,,,,175,486,4,,Just renovated,,C,1977,,272,,0,0,
11146827,1932,Sint-stevens-woluwe,Apartment,,299000,2,92,,,,8,,,2,,Good,Fitted out,C,1990,,217,,0,0,
11146831,1090,Jette,House,Apartment-block,685000,25,,,,,,,700,2,,,,Not specified,1950,Fuel oil,Not specified,,1,0,
11146823,1325,Chaumont,House,,350000,3,170,,,,,,938,4,,To renovate,,E,1890,Fuel oil,387,,0,0,
11146817,8550,Zwevegem,Apartment,,170500,1,73,,0,,8,,,2,,Good,,Not specified,2024,Gas,Not specified,,0,1,
11059702,2230,Herselt,House,,255000,3,145,,0,,,,721,4,,,,F,1973,Fuel oil,516,,0,0,
11146779,5555,Graide,House,,159000,3,143,,,,,,120,3,,Good,,C,1970,Fuel oil,209,,0,0,
11146769,1930,Zaventem,House,,489000,3,193,,,,1,110,228,2,,Just renovated,"Living area (residential, urban or rural)",B,1961,Gas,162,,0,0,
11146768,5101,Loyers,House,,419000,4,155,,0,,60,,1428,4,,As new,,B,2015,,113,,0,0,
10780193,7190,Ecaussinnes,Apartment,,240000,2,,,0,,10,150,,4,,Good,"Living area (residential, urban or rural)",B,2009,Gas,105,,0,0,
11146850,2660,Hoboken,House,,260000,2,118,,,,,,73,2,,Good,,C,1934,Gas,243,,0,0,
11146773,8370,Blankenberge,Apartment,,279000,2,92,,0,,4,,,2,,Good,Urban,B,2002,,117,,0,0,
11146766,2018,Antwerpen,Manor-house,,565000,4,158,,0,,,,106,2,,,,D,1918,Gas,397,,0,0,
11146765,8700,Tielt,House,,449000,3,195,,0,,,,909,4,,,,D,1979,Gas,366,,0,0,
11146761,1190,Forest,Appartment,Ground-floor,295000,2,95,,0,,15,,,2,,,,F,1975,Gas,317,,0,0,
11146750,9100,Sint-niklaas,House,,449000,4,240,,,,,,1070,,,,,D,1933,Gas,375,,0,0,
11115192,4280,Hannut,House,Mansion,400000,4,343,,0,,,1050,1413,2,,Good,Urban,C,1919,Fuel oil,237,,0,0,
11135545,9620,Zottegem,Villa,,645000,4,272,,0,,26,2327,2627,4,,Good,Urban,E,1976,Fuel oil,462,,0,0,
11115195,4280,Hannut,House,Mansion,550000,5,433,,0,,,1050,1413,2,,Good,Urban,C,1919,Fuel oil,237,,0,0,
11135086,1653,Beersel,House,Town-house,379000,3,160,,0,,35,240,650,2,,Good,Isolated,F,1979,Fuel oil,665,,0,0,
11138017,1570,Galmaarden,House,,199000,3,308,,,,,,600,4,,To renovate,,F,1950,Gas,789,,0,0,
11135101,4100,Seraing,House,Mixed-use-building,329000,5,110,,0,,45,465,1640,2,,To renovate,Isolated,E,1900,Gas,418,,1,0,
11024429,6850,Paliseul,House,,269000,3,170,,,,,,879,4,,Good,Landscape,E,1938,Fuel oil,367,,0,0,
11143821,1330,Rixensart,House,,595000,4,209,,0,,10,,1160,4,,To be done up,Isolated,F,1973,Gas,461,,0,0,
11144209,1310,La-hulpe,House,,645000,5,343,,,,,,321,2,,Good,Urban,E,1920,Gas,383,,0,0,
11134158,4684,Oupeye,House,Bungalow,199000,2,81,,1,,19,100,333,3,,To be done up,"Living area (residential, urban or rural)",G,1990,Electric,709,,0,0,
11143776,1020,Laeken,House,,199000,2,81,,1,,19,100,333,3,,To be done up,"Living area (residential, urban or rural)",G,1990,Electric,709,,0,0,
