,11135530,9660,Brakel,New-real-estate-project-houses,Unnamed: 4,From 389000 To 498500,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,11135086,1653,Beersel,House,Town-house,379000,3.0,160.0,,0.0,,35.0,240.0,650.0,2.0,0.0,Good
1,11134158,4684,Oupeye,House,Bungalow,199000,2.0,81.0,,1.0,,19.0,100.0,333.0,3.0,0.0,To be done up
2,11135101,4100,Seraing,House,Mixed-use-building,329000,5.0,110.0,,0.0,,45.0,465.0,1640.0,2.0,0.0,To renovate
3,11135548,9600,Ronse,Villa,,259000,3.0,165.0,,0.0,,30.0,351.0,674.0,3.0,0.0,To renovate
4,11140491,2650,Edegem,House,,1545000,4.0,360.0,,,,,315.0,703.0,4.0,,Just renovated
5,11135545,9620,Zottegem,Villa,,645000,4.0,272.0,,0.0,,26.0,2327.0,2627.0,4.0,,Good
6,11134157,3700,Tongeren,House,,169000,4.0,165.0,,0.0,,19.0,360.0,442.0,3.0,0.0,Good
7,11137135,9052,Zwijnaarde,New-real-estate-project-houses,,From 498000 To 595000,,,,,,,,,,,
8,11137130,9000,Gent,New-real-estate-project-houses,,From 498000 To 595000,,,,,,,,,,,
9,11135496,9050,Gent,New-real-estate-project-houses,,From 462500 To 542500,,,,,,,,,,,
10,11134170,4101,Seraing,House,Mixed-use-building,209900,3.0,200.0,,0.0,,,,510.0,2.0,0.0,Just renovated
11,11137886,9800,Deinze-astene,New-real-estate-project-houses,,From 378500 To 599500,,,,,,,,,,,
12,11133687,9890,Gavere,New-real-estate-project-houses,,From 356147 To 388789,,,,,,,,,,,
13,11133752,9990,Maldegem,Villa,,624000,2.0,310.0,,0.0,,,,4153.0,4.0,0.0,Good
14,11134217,8530,Harelbeke,New-real-estate-project-houses,,From 397000 To 435000,,,,,,,,,,,
15,11134252,1700,Dilbeek,Villa,,469000,2.0,198.0,,,,6.0,455.0,571.0,4.0,0.0,Just renovated
16,11134745,1653,Beersel,House,Town-house,499000,3.0,160.0,,0.0,,25.0,360.0,1382.0,2.0,0.0,Good
17,11130920,9600,Ronse,House,,249000,3.0,156.0,,0.0,,,350.0,555.0,3.0,0.0,To be done up
18,11130919,9600,Ronse,House,,265000,3.0,169.0,,0.0,,27.0,,100.0,2.0,0.0,As new
19,11132174,2480,Dessel,New-real-estate-project-houses,,From 330000 To 345000,,,,,,,,,,,
20,11132583,4121,Neupre,House,,259000,3.0,167.0,,0.0,,20.0,500.0,601.0,3.0,0.0,Good
21,11131307,1930,Zaventem,House,,349000,4.0,147.0,,0.0,,20.0,120.0,179.0,2.0,0.0,Just renovated
22,11131905,9200,Dendermonde,House,,324900,2.0,128.0,,,,45.0,147.0,317.0,2.0,,Good
